"Order","Family","Species.name.","Brain.mass","Body.mass","Body.mass","Residual.brain.size","Residual.brain.size","Maximum.lifespan","Age.at.first.reprodction","Residual.lifespan","Residual.reproductive.lifespan","Incubation.length","Clutch.size","Mode.of.development","Mean.latitude","Sampling.effort","Dats.source","logBodyMass","logBrainMass"
"Gaviiformes","Gaviidae","Gavia arctica ",7.5,2804.5,2724,-0.18158,-0.152887189099373,28,3,-0.04926,-0.05251,29,1.5,1,57.57,1,0,7.93898054894839,2.01490302054226
"Gaviiformes","Gaviidae","Gavia immer ",13,4200,3405,-0.04146,-0.0200866399202275,24.1,4,-0.16931,-0.20237,28,2,1,59.69,1,0,8.34283980427146,2.56494935746154
"Gaviiformes","Gruidae","Grus grus ",17.6,4797.5,5500,0.05758,0.0767158278077182,43,5,0.08571,0.0778,30,2,1,53.1,1,0,8.47585022788186,2.86789890204411
"Gruiformes","Rallidae","Fulica atra ",3.078,775,734.3,-0.25386,-0.20065580047733,20.6,1,-0.05956,-0.03476,22,8,1,10,1,0,6.65286302935335,1.12428003541669
"Gruiformes","Rallidae","Gallinula chloropus ",1.902,348.5,392,-0.26747,-0.199077460849693,18.6,1,-0.02749,-0.00479,19,9,1,15.63,1,0,5.85363823020058,0.642905964123199
"Gruiformes","Rallidae","Rallus aquaticus ",1.756,115.5,111.5,-0.03208,0.0576056073971026,8.9,1,-0.242,-0.24668,20,8.5,1,45.19,1,0,4.74927052996185,0.563038495212925
"Otidiformes","Otididae","Otis tarda ",10.8,7895.5,7896,-0.27634,-0.267364637205451,28.3,3,-0.14361,-0.14668,24,2.5,1,45.3,1,1,8.9740482559067,2.37954613413017
"Passeriformes","Acrocephalidae","Acrocephalus arundinaceus ",0.94,21.9,30,0.10315,0.224361052788404,10.1,1,-0.02806,-0.02567,14,4.5,4,37.62,1,0,3.08648663682246,-0.0618754037180875
"Passeriformes","Acrocephalidae","Acrocephalus melanopogon",0.41,11.3,10.9,-0.09473,0.0391350061392955,11.2,1,0.08036,0.08765,14,4,4,42.15,1,0,2.42480272571829,-0.891598119283784
"Passeriformes","Acrocephalidae","Acrocephalus palustris ",0.52,12,11.5,-0.00686,0.12574994801265,9.8,1,0.01637,0.01751,13,4,4,50.45,1,0,2.484906649788,-0.653926467406664
"Passeriformes","Acrocephalidae","Acrocephalus schoenobaenus ",0.44,11.9,11.8,-0.07737,0.0545705100267213,11.8,1,0.09783,0.10725,14,5.5,4,53.9,1,0,2.47653840011748,-0.82098055206983
"Passeriformes","Acrocephalidae","Acrocephalus scirpaceus ",0.58,11.8,12.3,0.04467,0.176997926045484,14,1,0.17288,0.18858,10,4,4,46.98,1,0,2.46809953147162,-0.544727175441672
"Passeriformes","Acrocephalidae","Acrocephalus stentoreus ",0.87,26.9,24.2,0.01925,0.13674419236625,10.6,1,-0.02674,-0.02218,13,4.5,4,2.81,1,0,3.29212628660779,-0.139262067333508
"Passeriformes","Acrocephalidae","Hippolais icterina ",0.483,13.3,13.2,-0.06407,0.0664415178015725,10.8,1,0.04873,0.05438,14,4.5,4,53.42,1,0,2.58776403522771,-0.727738625329564
"Passeriformes","Aegithalidae","Aegithalos caudatus ",0.424,8.1,8.6,0.00062,0.140521982814741,11.1,1,0.10805,0.11507,15,10,4,48.35,1,0,2.09186406167839,-0.858021823750179
"Passeriformes","Aegithalidae","Psaltriparus minimus",0.36,5.3,5.3,0.03328,0.181183119677811,9.1,1,0.06233,0.05995,12,6,4,32.19,0,0,1.66770682055808,-1.02165124753198
"Passeriformes","Alaudidae","Alauda arvensis ",0.896,36.4,37.5,-0.04192,0.0692463177517822,10.1,1,-0.07665,-0.07444,11,3,4,51.78,1,0,3.5945687746427,-0.109814866007207
"Passeriformes","Alaudidae","Eremophila alpestris ",0.92,34.8,33.5,-0.01945,0.0927765438409034,8,1,-0.17358,-0.18406,11,3,4,50.92,1,0,3.54961738678043,-0.083381608939051
"Passeriformes","Alaudidae","Galerida cristata ",1.104,44.7,42.9,-0.00122,0.106236311334319,11.6,1,-0.03605,-0.02778,12,4,4,29.91,1,0,3.79997350161952,0.0989399478549036
"Passeriformes","Bombycillidae","Bombycilla garrulus ",1.112,50.5,54.5,-0.02819,0.0770730490857174,13.5,1,0.01805,0.03201,14,5,4,60.62,1,0,3.92197333628131,0.106160195828391
"Passeriformes","Calcariidae","Calcarius lapponicus ",1,25.2,28.35,0.0957,0.214342958502277,6,1,-0.26765,-0.29921,12,5,4,67.09,1,0,3.22684399451738,0
"Passeriformes","Calcariidae","Calcarius pictus",0.901,27.5,26.65,0.02922,0.146282506324035,5,1,-0.35519,-0.40451,12,4,4,61.98,1,0,3.31418600467253,-0.104250021373799
"Passeriformes","Calcariidae","Plectrophenax nivalis ",1.06,34.8,41.8,0.04207,0.153776543840903,9.6,1,-0.0944,-0.09466,12,5,4,68.32,1,0,3.54961738678043,0.0582689081239758
"Passeriformes","Cardinalidae","Passerina cyanea",0.67,12.2,15,0.09917,0.231501969979815,11,1,0.06496,0.07144,12,3.5,4,38.55,1,0,2.50143595173921,-0.400477566597125
"Passeriformes","Cardinalidae","Spiza americana",0.94,27,33,0.05195,0.16913733836156,4.8,1,-0.37116,-0.42502,12,4,4,40,1,0,3.29583686600433,-0.0618754037180875
"Passeriformes","Certhiidae","Certhia familiaris ",0.5,9.2,9.1,0.04241,0.18035872056614,8.2,1,-0.03511,-0.04361,14,5.5,4,49.17,1,0,2.21920348405499,-0.693147180559945
"Passeriformes","Cinclidae","Cinclus cinclus ",1.44,61.9,61.7,0.03429,0.135063042668254,10.6,1,-0.10644,-0.10217,16,4.5,4,53.31,2,0,4.12552017969055,0.364643113587909
"Passeriformes","Cinclidae","Cinclus mexicanus",1.45,57.8,50.2,0.05405,0.156268662808972,8.1,1,-0.2167,-0.2266,15,4,4,39.06,1,0,4.05698877567833,0.371563556432483
"Passeriformes","Corvidae","Aphelocoma ultramarina",3.74,128.4,130,0.27037,0.357690323181335,25,2,0.19642,0.20726,18,4,4,19.87,1,1,4.85515039125586,1.31908561142644
"Passeriformes","Corvidae","Corvus corax ",15.368,1200.6,1041,0.33746,0.383041938631457,69,3,0.42357,0.45052,19,5,4,46.87,1,1,7.09057671081774,2.73228742546626
"Passeriformes","Corvidae","Corvus corone ",8.118,544.5,472.7,0.25365,0.313192862240331,19.2,3,-0.05637,-0.08362,18,4.5,4,51.3,1,0,6.29986794237302,2.09408381841671
"Passeriformes","Corvidae","Corvus frugilegus ",7.978,453.5,453.5,0.29081,0.354134328610889,22.9,2,0.03765,0.04457,17,4,4,46.48,1,0,6.11699526955519,2.07668775348321
"Passeriformes","Corvidae","Corvus ossifragus",6.21,285,418,0.2956,0.367718837558389,14.5,2,-0.1164,-0.13409,17,4,4,34.73,0,0,5.65248918026865,1.82616089594539
"Passeriformes","Corvidae","Cyanocitta cristata",3.03,89.1,80.8,0.2683,0.36218010992714,26.2,1,0.25173,0.282,17,4,4,40.65,0,1,4.48975933447676,1.10856261952128
"Passeriformes","Corvidae","Cyanocitta stelleri",3.67,128,99.1,0.26293,0.350904031190716,16.1,1,0.00561,0.02481,16,4,4,37.25,1,0,4.85203026391962,1.30019166206648
"Passeriformes","Corvidae","Garrulus glandarius ",3.969,167.6,159.7,0.2311,0.313902112641917,17.9,1,0.02589,0.04788,16,6,4,43.34,1,0,5.12158018804798,1.37851417380093
"Passeriformes","Corvidae","Gymnorhinus cyanocephalus",3.64,103,105,0.3125,0.403948307631633,14.6,1,-0.01609,0.00023,17,4,4,38.25,1,0,4.63472898822964,1.29198368164865
"Passeriformes","Corvidae","Nucifraga caryocatactes ",5.502,193,147,0.33836,0.4182771643511,16.2,1,-0.03097,-0.01174,18,3.5,4,45.84,1,0,5.26269018890489,1.70511166250238
"Passeriformes","Corvidae","Perisoreus canadensis",2.62,69,70.3,0.26767,0.366540904447796,19.2,1,0.14117,0.16521,17,3,4,51.5,0,0,4.23410650459726,0.963174317773006
"Passeriformes","Corvidae","Pica pica ",5.58,228,178,0.30371,0.380583676013377,21.7,2,0.08003,0.08489,21,6,4,44.63,1,0,5.42934562895444,1.71918877639322
"Passeriformes","Corvidae","Pyrrhocorax graculus ",3.2,230.4,211.5,0.05972,0.136156259994615,24.4,3,0.12998,0.11985,19,4,4,39.91,1,0,5.43981692882174,1.16315080980568
"Passeriformes","Corvidae","Pyrrhocorax pyrrhocorax ",5.9,254.8,277.8,0.3008,0.375454683788228,20.3,2,0.04046,0.04222,18,4,4,31.39,1,1,5.54047892369801,1.77495235091167
"Passeriformes","Emberizidae","Ammodramus savannarum",0.67,17,17.6,0.01803,0.144114993304369,9.1,1,-0.04912,-0.05192,11,4,4,27.54,1,0,2.83321334405622,-0.400477566597125
"Passeriformes","Emberizidae","Amphispiza bilineata",0.7,13.8,13.5,0.08805,0.217731853726523,6,1,-0.21007,-0.24142,12,3,4,33.63,1,0,2.62466859216316,-0.356674943938732
"Passeriformes","Emberizidae","Calamospiza melanocorys",1.22,37.8,32.6,0.0829,0.193536653676733,4.8,1,-0.40334,-0.45732,12,5,4,42.24,1,0,3.63230910262554,0.198850858745165
"Passeriformes","Emberizidae","Emberiza aureola ",0.71,21.2,19.6,-0.0102,0.111463862858763,7,1,-0.18395,-0.20322,13,4.5,4,54.09,1,0,3.05400118167797,-0.342490308946776
"Passeriformes","Emberizidae","Emberiza cirlus ",0.79,23.8,25.6,0.00781,0.127514308619542,6.1,1,-0.25481,-0.28493,12,3.5,4,40.19,1,0,3.16968558067743,-0.23572233352107
"Passeriformes","Emberizidae","Emberiza citrinella ",0.767,29.7,26.8,-0.05969,0.0556494701645546,13.2,1,0.05906,0.07241,13,4,4,54.68,1,0,3.39114704580865,-0.265268477614881
"Passeriformes","Emberizidae","Emberiza hortulana ",0.72,23.8,27,-0.03299,0.0859074546148519,6.8,1,-0.20783,-0.22927,12,3.5,4,51.25,1,0,3.16968558067743,-0.328504066972036
"Passeriformes","Emberizidae","Emberiza melanocephala ",0.731,28.4,28.4,-0.06919,0.0467865502583664,11,1,-0.01568,-0.00949,14,4.5,4,37.06,1,0,3.34638914516716,-0.313341819232359
"Passeriformes","Emberizidae","Emberiza schoeniclus ",0.75,18.8,18.4,0.04241,0.166413417097983,12.2,1,0.06857,0.07916,13,4.5,4,50.33,1,0,2.9338568698359,-0.287682072451781
"Passeriformes","Emberizidae","Junco hyemalis",0.86,19,19,0.09926,0.22237914707453,11.3,1,0.03428,0.04176,11,4,4,50.4,2,0,2.94443897916644,-0.150822889734584
"Passeriformes","Emberizidae","Melospiza georgiana",0.84,17.6,16.1,0.10775,0.23240532922932,7.8,1,-0.11939,-0.13122,13,4,4,51.86,1,0,2.86789890204411,-0.174353387144778
"Passeriformes","Emberizidae","Melospiza melodia",0.96,20.5,22.7,0.12845,0.25035296491974,11.3,1,0.02701,0.03447,12,4,4,40.88,1,0,3.02042488614436,-0.0408219945202552
"Passeriformes","Emberizidae","Miliaria calandra ",1.182,46.7,48.8,0.01771,0.124706085245198,10.6,1,-0.07939,-0.07502,13,5,4,44.37,1,0,3.84374416467485,0.167207918983906
"Passeriformes","Emberizidae","Passerculus sandwichensis",0.7,20.1,20.2,-0.00391,0.118814650961956,18,1,0.23109,0.25397,12,4,4,45.05,1,1,3.00071981506503,-0.356674943938732
"Passeriformes","Emberizidae","Pipilo aberti",1.409,39.2,46,0.13655,0.246826989601683,8.6,1,-0.15356,-0.15978,14,3,4,34.3,1,0,3.66867674679642,0.342880232916543
"Passeriformes","Emberizidae","Pipilo erythrophthalmus",1.41,39.2,39.4,0.13687,0.246826989601683,12.3,1,0.00185,0.01249,12,4,4,34.05,1,0,3.66867674679642,0.343589704390077
"Passeriformes","Emberizidae","Pipilo fuscus",1.409,39.2,44.4,0.13655,0.246826989601683,12.8,1,0.01915,0.03129,11,3,4,28.65,0,0,3.66867674679642,0.342880232916543
"Passeriformes","Emberizidae","Spizella arborea",0.77,12.4,16.6,0.15561,0.287253991946981,10.8,1,0.05543,0.06111,12,4,4,60.85,2,0,2.51769647261099,-0.261364764134408
"Passeriformes","Emberizidae","Zonotrichia albicollis",1.09,27.4,20.2,0.11265,0.228889360328726,14.9,1,0.11938,0.1368,13,4,4,53.31,1,0,3.31054301339402,0.0861776962410524
"Passeriformes","Emberizidae","Zonotrichia leucophrys",1,26.4,25.82,0.08432,0.201599024403775,13.3,1,0.0736,0.08726,12,4,4,51.99,2,0,3.27336401015227,0
"Passeriformes","Emberizidae","Zonotrichia querula",0.964,24.7,33.1,0.08478,0.203197790539802,11.7,1,0.0243,0.03312,13,4,4,63.07,1,0,3.20680324363393,-0.0366639843715915
"Passeriformes","Fringillidae","Carduelis cannabina ",0.654,19,19.5,-0.01902,0.104986001079221,9.4,1,-0.04542,-0.04655,13,5,4,46.87,1,0,2.94443897916644,-0.424647927524938
"Passeriformes","Fringillidae","Carduelis chloris ",0.877,27.7,26,0.01601,0.132461944309963,13.6,1,0.07886,0.09328,13,5,4,49.02,1,0,3.32143241319329,-0.131248286609954
"Passeriformes","Fringillidae","Carduelis flammea ",0.6,12.1,14.2,0.05265,0.184715677989196,12.2,1,0.11047,0.12121,10,5,4,64.95,1,0,2.4932054526027,-0.510825623765991
"Passeriformes","Fringillidae","Carduelis flavirostris ",0.401,14.9,15.4,-0.17183,-0.0436874744235759,6.1,1,-0.2099,-0.23985,12,5,4,49.63,1,0,2.70136121295141,-0.913793851675568
"Passeriformes","Fringillidae","Carduelis spinus ",0.522,13.8,13.2,-0.03937,0.0907318537265232,13.5,1,0.14211,0.15652,12,4,4,49.79,1,0,2.62466859216316,-0.650087691099498
"Passeriformes","Fringillidae","Carpodacus mexicanus",0.81,20.4,21.4,0.05586,0.177566672929122,11.6,1,0.03886,0.0474,14,4,4,33.72,1,0,3.01553490085017,-0.210721031315653
"Passeriformes","Fringillidae","Carpodacus purpureus",0.93,25.6,25.42,0.06033,0.178094980469443,14,1,0.09882,0.11425,13,4,4,47.4,1,0,3.24259235148552,-0.0725706928348354
"Passeriformes","Fringillidae","Coccothraustes coccothraustes ",1.687,54.7,56.6,0.13328,0.236833158921547,12.6,1,-0.01955,-0.00811,12,4.5,4,46.48,1,0,4.00186370942794,0.522951803563831
"Passeriformes","Fringillidae","Fringilla coelebs ",0.808,22.2,20.7,0.0341,0.15471992876026,29,1,0.42871,0.46114,13,4.5,4,49.49,0,1,3.10009228887823,-0.213193220461042
"Passeriformes","Fringillidae","Fringilla montifringilla ",0.699,22.7,23.2,-0.03374,0.086258242718045,14.8,1,0.13466,0.15194,12,6,4,60.63,1,0,3.12236492448736,-0.358104536748327
"Passeriformes","Fringillidae","Himatione sanguinea",0.69,14.8,13.4,0.0647,0.193526233585805,11,1,0.04648,0.0529,13,3,4,20.55,0,1,2.69462718077007,-0.371063681390832
"Passeriformes","Fringillidae","Loxia curvirostra ",1.554,40.9,39.5,0.16902,0.277903617517252,16.1,1,0.11483,0.13443,13,3,4,42.77,0,0,3.71113006304876,0.440832251945456
"Passeriformes","Fringillidae","Loxia leucoptera ",1.51,32.8,28.9,0.21021,0.323554747962859,4,1,-0.46895,-0.54636,13,3,4,55.46,0,1,3.4904285153901,0.412109650826833
"Passeriformes","Fringillidae","Pinicola enucleator ",1.64,65.7,65.3,0.0762,0.176284838546299,9.8,1,-0.14621,-0.14567,13,4,4,52.36,0,0,4.18509892549057,0.494696241836107
"Passeriformes","Fringillidae","Pyrrhula pyrrhula ",0.874,31.1,24.4,-0.01384,0.101119244075433,17.5,1,0.17727,0.19926,13,4.5,4,51.82,1,0,3.43720781918519,-0.134674903326602
"Passeriformes","Fringillidae","Serinus canaria ",0.57,15.3,13.3,-0.0256,0.102637131524827,24,1,0.38244,0.41175,13,3.5,4,33.35,1,1,2.72785282839839,-0.562118918153541
"Passeriformes","Hirundinidae","Delichon urbicum",0.435,19.6,14.5,-0.20373,-0.0809031009817569,15,1,0.15456,0.17231,15,4,4,42.94,1,0,2.97552956623647,-0.832409247893453
"Passeriformes","Hirundinidae","Petrochelidon pyrrhonota",0.506,19.5,23.24,-0.1376,-0.0149031009817569,11.8,1,0.05048,0.05974,14,4,4,41.6,2,0,2.9704144655697,-0.681218609694672
"Passeriformes","Hirundinidae","Progne subis",1.07,50.7,45,-0.04588,0.0588593410763361,13.8,1,0.02722,0.04193,15,5,4,38.73,1,0,3.92592591059714,0.0676586484738149
"Passeriformes","Hirundinidae","Riparia riparia ",0.342,13.2,12.7,-0.21122,-0.0805242121749744,10,1,0.01639,0.01849,15,4,4,47.3,2,0,2.58021682959233,-1.07294454191953
"Passeriformes","Hirundinidae","Stelgidopteryx ruficollis",0.55,15.2,16,-0.04031,0.0872439855295181,5.9,1,-0.22661,-0.25946,14,6,4,10.15,1,0,2.72129542785223,-0.59783700075562
"Passeriformes","Hirundinidae","Tachycineta bicolor",0.57,20.1,19,-0.09313,0.029814650961956,12.1,1,0.0586,0.06884,14,5,4,51.1,1,0,3.00071981506503,-0.562118918153541
"Passeriformes","Hirundinidae","Tachycineta thalassina",0.48,15.1,14.2,-0.09782,0.0300645475435898,9.1,1,-0.03779,-0.04054,14,4,4,45.65,1,0,2.71469474382088,-0.7339691750802
"Passeriformes","Icteridae","Dolichonyx oryzivorus",1.11,38.7,35,0.03611,0.145861259625136,9,1,-0.13259,-0.13627,13,5,4,43.2,1,0,3.65583960003574,0.104360015324243
"Passeriformes","Icteridae","Euphagus carolinus",1.56,55.7,60.8,0.09486,0.197978326884022,8.8,1,-0.17717,-0.18221,14,4.5,4,56.2,1,0,4.01998014693324,0.444685821261446
"Passeriformes","Icteridae","Euphagus cyanocephalus",1.49,68.5,64.55,0.02434,0.123361466461868,12.5,1,-0.04452,-0.03346,13,5,4,45.9,1,0,4.22683374526818,0.398776119957368
"Passeriformes","Icteridae","Icteria virens",0.94,24.9,26,0.07175,0.19037722852573,8.9,1,-0.09527,-0.09941,11,5,4,37.5,0,0,3.21486780347066,-0.0618754037180875
"Passeriformes","Icteridae","Icterus spurius",0.89,20.4,21,0.09676,0.218566672929122,17.7,1,0.22238,0.24481,13,5,4,34.75,1,1,3.01553490085017,-0.116533816255952
"Passeriformes","Icteridae","Quiscalus major",2.88,158.8,152.6,0.10493,0.1878597547498,13.9,1,-0.07882,-0.06427,13,4,4,33.11,1,0,5.06764554881304,1.05779029414785
"Passeriformes","Icteridae","Quiscalus mexicanus",3.07,168.7,168.7,0.11788,0.200081550627845,12.5,1,-0.13071,-0.11997,13,3,4,19.97,1,0,5.12812198955192,1.12167756159911
"Passeriformes","Icteridae","Quiscalus quiscula",2.68,110.2,111,0.16301,0.253349541495605,23.1,1,0.17671,0.20459,14,5,4,42.98,1,0,4.70229689671881,0.985816794522765
"Passeriformes","Icteridae","Sturnella magna",2.3,89,94.71,0.14886,0.243786963931831,12.6,1,-0.0661,-0.05483,13,5,4,23.95,0,0,4.48863636973214,0.832909122935104
"Passeriformes","Icteridae","Sturnella neglecta",2.01,103.5,85,0.05341,0.144734599622251,10,1,-0.1809,-0.17953,14,3,4,39,0,1,4.63957161270542,0.698134722070984
"Passeriformes","Laniidae","Lanius collurio ",1.04,30.7,28.4,0.06445,0.179153514098886,10.1,1,-0.06036,-0.05809,14,5,4,49.47,1,0,3.42426265459315,0.0392207131532813
"Passeriformes","Laniidae","Lanius ludovicianus",1.59,47.4,46,0.14259,0.248458107212364,12.5,1,-0.00931,0.00188,11,5,4,35.88,0,0,3.85862222870103,0.46373401623214
"Passeriformes","Laniidae","Lanius senator ",1.15,27.8,36,0.13238,0.249248236300582,5.7,1,-0.29932,-0.33551,15,5.5,4,41.14,1,0,3.32503602069659,0.139761942375159
"Passeriformes","Leiothrichidae","Leiothrix lutea",0.95,21.8,21.5,0.10886,0.230574760797785,15,1,0.14415,0.16186,12,3,4,30.46,2,1,3.08190996979504,-0.0512932943875506
"Passeriformes","Locustellidae","Locustella fluviatilis",0.45,18.8,16.1,-0.17944,-0.0555865829020168,6.9,1,-0.17894,-0.19921,14,5.5,4,28,1,0,2.9338568698359,-0.798507696217772
"Passeriformes","Locustellidae","Locustella luscinioides ",0.57,15,13.9,-0.02156,0.106885109557662,9.8,1,-0.00497,-0.00391,11,4.5,4,42.17,1,0,2.70805020110221,-0.562118918153541
"Passeriformes","Locustellidae","Locustella naevia ",0.6,11.8,13.3,0.0594,0.191997926045484,5.9,1,-0.2024,-0.23516,13,5.5,4,51.57,1,0,2.46809953147162,-0.510825623765991
"Passeriformes","Maluridae","Malurus cyaneus",0.49,8.3,10.4,0.05748,0.196846588763145,10.4,1,0.07743,0.08154,14,3.5,4,33.45,2,0,2.11625551480255,-0.713349887877465
"Passeriformes","Mimidae","Dumetella carolinensis",1.18,37.8,34.5,0.06842,0.179536653676733,17.9,1,0.16827,0.19079,13,4,4,41.7,2,0,3.63230910262554,0.165514438477573
"Passeriformes","Mimidae","Mimus polyglottos",1.43,45.2,53,0.10815,0.215202041310866,20,1,0.19935,0.22449,12,4,4,34.15,1,0,3.81109708683819,0.357674444271816
"Passeriformes","Mimidae","Toxostoma curvirostre",2.21,78.4,80.65,0.16253,0.259163934189814,10.8,1,-0.12092,-0.11589,13,3,4,27.45,0,0,4.36182392735636,0.792992515529661
"Passeriformes","Motacillidae","Anthus pratensis ",0.483,19.3,18.4,-0.15449,-0.0306551229489228,8.8,1,-0.07557,-0.08024,13,4,4,56,1,0,2.96010509591084,-0.727738625329564
"Passeriformes","Motacillidae","Anthus spinoletta ",0.58,20.7,21.2,-0.09277,0.0289255489009782,8.8,1,-0.08251,-0.08721,14,4,4,54.17,1,0,3.03013370027132,-0.544727175441672
"Passeriformes","Motacillidae","Anthus trivialis ",0.624,23.4,23.4,-0.091,0.0287622866523767,8.8,1,-0.09424,-0.09898,13,4,4,51.25,1,0,3.15273602236366,-0.471604910612709
"Passeriformes","Motacillidae","Motacilla alba ",0.532,20.8,24.1,-0.13088,-0.00868130510371246,13.7,1,0.1095,0.12427,13,5,4,45.59,1,0,3.03495298670727,-0.631111789640493
"Passeriformes","Motacillidae","Motacilla cinerea ",0.526,17.4,17.2,-0.09204,0.033653307262154,8,1,-0.10702,-0.11726,12,5,4,49.1,1,0,2.85647020622048,-0.642454066244427
"Passeriformes","Motacillidae","Motacilla flava ",0.426,17.5,17.7,-0.18502,-0.0601672547519176,8.8,1,-0.06618,-0.07082,11,5,4,45.34,1,0,2.86220088092947,-0.853315932712767
"Passeriformes","Muscicapidae","Erithacus rubecula ",0.62,17.6,17.3,-0.02344,0.101619037238701,19.3,1,0.27435,0.29899,14,5,4,48.87,2,0,2.86789890204411,-0.478035800943
"Passeriformes","Muscicapidae","Ficedula albicollis ",0.47,10.3,12.7,-0.01341,0.121802312322229,9.8,1,0.03098,0.03217,13,5.5,4,48.56,1,0,2.33214389523559,-0.755022584278033
"Passeriformes","Muscicapidae","Ficedula hypoleuca ",0.378,12,13.9,-0.14537,-0.0132500519873505,15,1,0.20124,0.21916,14,6.5,4,50.77,2,0,2.484906649788,-0.972861083362549
"Passeriformes","Muscicapidae","Luscinia luscinia ",0.75,25,23.8,-0.02729,0.0911635205163494,8.9,1,-0.09565,-0.09979,13,4.5,4,52.5,1,0,3.2188758248682,-0.287682072451781
"Passeriformes","Muscicapidae","Luscinia megarhynchos ",0.73,20.1,19.7,0.01432,0.136814650961956,10.9,1,0.01325,0.01916,13,4.5,4,40.9,1,0,3.00071981506503,-0.3147107448397
"Passeriformes","Muscicapidae","Luscinia svecica",0.683,21.6,17.3,-0.03244,0.0890021768165473,11.4,1,0.02584,0.03365,13,6,4,50.2,1,0,3.07269331469012,-0.381260419411347
"Passeriformes","Muscicapidae","Muscicapa striata ",0.477,15.2,15.9,-0.10216,0.0262439855295181,11.8,1,0.07442,0.08376,13,5,4,50.25,0,1,2.72129542785223,-0.740238788093796
"Passeriformes","Muscicapidae","Phoenicurus ochruros ",0.55,15.8,16.5,-0.049,0.0781411754591591,10.2,1,0.00774,0.01072,15,5,4,43.87,1,0,2.76000994003292,-0.59783700075562
"Passeriformes","Muscicapidae","Phoenicurus phoenicurus ",0.493,15.3,14.6,-0.08863,0.0396371315248275,10.2,1,0.01083,0.01381,13,6,4,48.93,1,0,2.72785282839839,-0.707246104939447
"Passeriformes","Muscicapidae","Saxicola rubetra ",0.67,16.6,16.6,0.02385,0.150183533351275,6.9,1,-0.16704,-0.18727,13,5.5,4,53.59,1,0,2.8094026953625,-0.400477566597125
"Passeriformes","Muscicapidae","Saxicola torquatus",0.63,15.3,10.3,0.01706,0.144423423515446,8.8,1,-0.0536,-0.0582,13,5,4,15.18,1,0,2.72785282839839,-0.462035459596559
"Passeriformes","Oriolidae","Oriolus oriolus ",1.309,71.1,79,-0.04085,0.0576518023868185,14.8,1,0.02533,0.04221,16,3.5,4,42.93,1,0,4.26408733680919,0.269263486927763
"Passeriformes","Panuridae","Panurus biarmicus ",0.524,15.3,13.8,-0.06295,0.0644234235154463,7.1,1,-0.14683,-0.16496,12,6,4,46.63,1,0,2.72785282839839,-0.646263594661095
"Passeriformes","Paridae","Baeolophus bicolor",1.05,21.6,21,0.15458,0.276002176816547,13.3,1,0.09279,0.10652,13,6,4,35.8,1,0,3.07269331469012,0.048790164169432
"Passeriformes","Paridae","Parus ater ",0.569,9.5,9.2,0.09067,0.227862764500471,9.5,1,0.02571,0.02538,15,8.5,4,44.54,1,0,2.2512917986065,-0.563874844855806
"Passeriformes","Paridae","Parus atricapillus",0.79,12,10.4,0.17476,0.30774994801265,12.4,1,0.11857,0.12993,12,7,4,50.08,2,0,2.484906649788,-0.23572233352107
"Passeriformes","Paridae","Parus caeruleus",0.65,10.8,10.3,0.11604,0.250665232228417,14.6,1,0.19966,0.21677,14,10,4,48.9,1,0,2.37954613413017,-0.430782916092454
"Passeriformes","Paridae","Parus carolinensis",0.62,10.2,10.25,0.10927,0.244229728340991,10.9,1,0.07811,0.08426,13,6,4,34.48,1,0,2.32238772029023,-0.478035800943
"Passeriformes","Paridae","Parus cristatus",0.7,10.2,11.1,0.16198,0.297229728340991,11.6,1,0.10514,0.11393,14,6.5,4,51.95,1,0,2.32238772029023,-0.356674943938732
"Passeriformes","Paridae","Parus gambeli",0.78,11.3,11.5,0.18393,0.317528152134605,10.1,1,0.03521,0.03784,14,7,4,45.68,0,0,2.42480272571829,-0.2484613592985
"Passeriformes","Paridae","Parus hudsonicus",0.74,11,10,0.16764,0.301810400190892,7,1,-0.12144,-0.14047,15,6,4,56.35,0,0,2.39789527279837,-0.301105092783922
"Passeriformes","Paridae","Parus major ",0.85,18.5,17.9,0.1007,0.224661395130817,15.4,1,0.17127,0.18984,13,10.5,4,30.84,2,0,2.91777073208428,-0.162518929497775
"Passeriformes","Parulidae","Cardellina rubrifrons",0.45,9.8,9.8,-0.02013,0.116153100425422,3,1,-0.47837,-0.6065,13,4,4,29.17,1,0,2.28238238567653,-0.798507696217772
"Passeriformes","Parulidae","Dendroica caerulescens",0.45,9.4,10.2,-0.00994,0.127076472509853,10,1,0.0485,0.05071,13,4,4,41.65,0,0,2.24070968927596,-0.798507696217772
"Passeriformes","Parulidae","Dendroica castanea",0.41,12,11.5,-0.11008,0.0227499480126495,4.9,1,-0.28466,-0.33591,12,5,4,53.6,0,0,2.484906649788,-0.891598119283784
"Passeriformes","Parulidae","Dendroica coronata",0.528,12.6,12,-0.01187,0.120006013914147,10,1,0.02048,0.02259,12,4,4,46.91,1,0,2.53369681395743,-0.638658995275876
"Passeriformes","Parulidae","Dendroica magnolia",0.38,8.7,7.5,-0.06444,0.0741026546646424,8,1,-0.04101,-0.05101,12,4,4,51.13,0,0,2.16332302566054,-0.967584026261706
"Passeriformes","Parulidae","Dendroica pensylvanica",0.39,9.4,9,-0.07208,0.0650764725098528,6.9,1,-0.11265,-0.13268,12,4,4,44.68,0,0,2.24070968927596,-0.941608539858445
