"Order","Family","Species.name.","Brain.mass","Body.mass","Body.mass","Residual.brain.size","Residual.brain.size","Maximum.lifespan","Age.at.first.reprodction","Residual.lifespan","Residual.reproductive.lifespan","Incubation.length","Clutch.size","Mode.of.development","Mean.latitude","Sampling.effort","Dats.source","logBodyMass","logBrainMass"
"Anseriformes","Anatidae","Branta leucopsis ",6.751,1687,1687,-0.10298,-0.0647724540627512,28.2,2,0.00244,0.01663,24,4.5,1,74.75,1,0,7.43070708254597,1.90969064205973
"Anseriformes","Anatidae","Bucephala clangula ",6.146,900,895.86,0.0099,0.0608986892177815,18.4,2,-0.12291,-0.12652,30,10,1,57.16,1,0,6.80239476332431,1.81580146370829
"Anseriformes","Anatidae","Bucephala islandica ",5.77,910,957.15,-0.02022,0.0298644191943286,18,2,-0.13351,-0.13831,29,1,1,52.79,1,0,6.8134445995109,1.75267208052001
"Anseriformes","Anatidae","Clangula hyemalis ",4.905,725,872,-0.03518,0.0199429656586977,22.7,2,-0.00036,0.00606,24,7,1,66.97,0,0,6.58617165485467,1.59025509301733
"Anseriformes","Anatidae","Cygnus columbianus ",17.35,6750,6350,-0.03213,-0.0200985648864904,24.1,2,-0.19839,-0.19036,31,4,1,63.92,1,0,8.81729778386658,2.85359250639287
"Anseriformes","Anatidae","Cygnus cygnus ",19.5,9450,9350,-0.06368,-0.0576992495713171,26.5,4,-0.18934,-0.21487,35,5,1,57.79,1,0,9.15377002048779,2.9704144655697
"Anseriformes","Anatidae","Histrionicus histrionicus",5.035,611.3,561.25,0.01789,0.0758501620058016,14.6,1,-0.18638,-0.1707,28,6,1,57.95,1,0,6.41558783703468,1.61641352617053
"Anseriformes","Anatidae","Melanitta fusca ",7.25,1762,1361,-0.08265,-0.0453026801518727,21.4,2,-0.12156,-0.11804,28,11,1,54.56,1,0,7.47420480649612,1.98100146886658
"Anseriformes","Anatidae","Melanitta nigra ",5.689,950,1052,-0.03688,0.0123341931052071,16.8,2,-0.16759,-0.17629,29,9,1,60.6,1,0,6.85646198459459,1.73853448576851
"Anseriformes","Anatidae","Mergellus albellus ",4.4,650,610,-0.05566,0.000465103879155437,10,2,-0.35661,-0.40704,27,8,1,58.36,1,0,6.47697236288968,1.48160454092422
"Anseriformes","Anatidae","Mergus merganser ",7.007,1470.5,1445,-0.05323,-0.0113612137813154,14.8,2,-0.26442,-0.28128,30,10,1,50.89,1,0,7.29335775799405,1.9469096493884
"Anseriformes","Anatidae","Mergus serrator ",4.917,1021.5,1021,-0.11796,-0.0694782810402013,21.3,2,-0.07146,-0.06796,32,10,1,57.06,0,0,6.92902741425768,1.5926985884298
"Anseriformes","Anatidae","Netta rufina ",4.9,1115,1118,-0.14088,-0.094538733218444,8.8,1,-0.46373,-0.46983,27,9,1,42.77,1,0,7.01660968389422,1.58923520511658
"Anseriformes","Anatidae","Somateria mollissima ",7.165,2066.5,2130,-0.12675,-0.0921756064755239,37.8,2,0.11028,0.13274,28,4,1,61.85,1,0,7.63361163395179,1.96920806128014
"Anseriformes","Anatidae","Somateria spectabilis ",6.5,1617.5,1617,-0.10914,-0.0698490819783206,18.9,2,-0.16733,-0.16975,23,5,1,74.45,0,0,7.38863702637506,1.87180217690159
"Anseriformes","Anatidae","Tadorna tadorna ",5.546,1152,1152,-0.09508,-0.0490346892841123,24.8,2,-0.01688,-0.00712,30,9,1,48.35,1,0,7.04925484125584,1.71307694719359
"Bucerotiformes","Upupidae","Upupa epops ",1.05,66.2,67.1,-0.11931,-0.0195357234677728,11.1,1,-0.09284,-0.08656,15,7.5,4,12.63,1,0,4.19268046294296,0.048790164169432
"Caprimulgiformes","Apodidae","Apus apus ",0.61,39.7,37.6,-0.22981,-0.12020728042177,21.1,2,0.23513,0.23935,24,2.5,4,48.95,1,0,3.68135118769314,-0.49429632181478
"Caprimulgiformes","Caprimulgidae","Caprimulgus europaeus ",0.732,78.3,67,-0.31688,-0.219229211805496,11.9,1,-0.07861,-0.06951,17,2,2,45.21,1,0,4.36054760299676,-0.311974765020825
"Charadriiformes","Alcidae","Aethia cristatella",1.533,266.5,289,-0.29545,-0.221682396305584,10.8,3,-0.1282,-0.22233,34,1,2,56.24,1,0,5.5853742436059,0.427226599889677
"Charadriiformes","Alcidae","Aethia pusilla",1.533,84.6,96,-0.01485,0.0811377520350239,8.1,3,-0.25313,-0.40685,30,1,2,58.74,1,0,4.43793426661218,0.427226599889677
"Charadriiformes","Alcidae","Alca torda ",4.853,717,726,-0.03709,0.0173703816774601,42,4,0.25726,0.26024,36,1,2,59.19,0,0,6.57507584059962,1.57959707042308
"Charadriiformes","Alcidae","Cepphus grylle ",3.139,381,427.5,-0.07169,-0.00474476703262605,29.9,3,0.17015,0.17089,25,2,2,62.31,0,0,5.9427993751267,1.14390427785982
"Charadriiformes","Alcidae","Cerorhinca monocerata",4.797,487.5,544.1,0.05218,0.11432185446548,28.2,3,0.12115,0.11888,45,1,2,46.86,0,0,6.1892902904379,1.56799072251993
"Charadriiformes","Alcidae","Fratercula arctica ",3.55,400,490.5,-0.03016,0.0355112988688715,40.8,4,0.3064,0.30825,42,1,2,61.93,0,0,5.99146454710798,1.26694760348732
"Charadriiformes","Alcidae","Uria aalge ",4.606,983,992,-0.13694,-0.0887686169651516,42.8,5,0.23528,0.22766,31,1,2,59.12,2,0,6.89060912014717,1.52735980139849
"Charadriiformes","Alcidae","Uria lomvia ",5.103,944.5,964,-0.08267,-0.032845244880721,29,5,0.07006,0.03421,33,1,2,63.92,1,0,6.85065568694156,1.62982860208183
"Charadriiformes","Burhinidae","Burhinus oedicnemus ",3.5,462,459,-0.07156,-0.00872050342663622,17.9,2,-0.07111,-0.07597,25,2,2,30.49,1,0,6.13556489108174,1.25276296849537
"Charadriiformes","Charadriidae","Charadrius alexandrinus ",1.1,47.7,37,-0.0187,0.0872443992029824,19,1,0.17203,0.19595,24,3,1,32.23,1,0,3.8649313978943,0.0953101798043249
"Charadriiformes","Charadriidae","Charadrius dubius ",0.778,38.8,38.7,-0.11855,-0.00813874037486408,13,2,0.02699,0.00191,24,4,1,28.98,1,0,3.65842024662923,-0.251028754803745
"Charadriiformes","Charadriidae","Charadrius hiaticula ",1.2,64.1,64,-0.05343,0.0469602325978955,20.8,1,0.18298,0.20887,24,3.5,1,65.57,1,0,4.16044436392662,0.182321556793955
"Charadriiformes","Charadriidae","Pluvialis apricaria ",2.195,175.5,214,-0.03749,0.0437650325481048,12.8,2,-0.12419,-0.15104,29,4,1,60.97,1,0,5.16763904290592,0.786182046527135
"Charadriiformes","Charadriidae","Pluvialis squatarola ",2.39,240.4,224,-0.07747,-0.00237396609450669,25.6,2,0.14675,0.15825,27,4,1,68.01,1,0,5.48230420266105,0.871293365943419
"Charadriiformes","Charadriidae","Vanellus vanellus ",2.058,218.5,218.5,-0.11907,-0.0418860978975017,24.5,2,0.13681,0.14669,24,4,1,52.98,1,0,5.38678601453564,0.721734637411858
"Charadriiformes","Haematopodidae","Haematopus ostralegus ",3.783,518,480,-0.06577,-0.00445634965647546,43.3,3,0.30159,0.31696,25,3,1,53.89,1,0,6.24997524225948,1.33051734565089
"Charadriiformes","Laridae","Larus canus ",3.946,386.5,430.6,0.02417,0.0906141089392302,33.7,3,0.22073,0.2269,23,3,2,59.26,1,0,5.95713186802748,1.37270240760042
"Charadriiformes","Laridae","Larus fuscus ",5.7,817.5,766.2,0.00069,0.0533865574147867,34.9,4,0.16429,0.15782,25,3,2,55.3,1,0,6.70625090277141,1.7404661748405
"Charadriiformes","Laridae","Larus glaucoides ",7.5,900,945.5,0.09637,0.146898689217781,33,4,0.13079,0.12103,25,2.5,2,68,1,0,6.80239476332431,2.01490302054226
"Charadriiformes","Laridae","Larus hyperboreus ",8,1412.5,1210,0.01417,0.0559553042984247,21.1,4,-0.10655,-0.15163,27,3,2,69.57,1,0,7.2531164630206,2.07944154167984
"Charadriiformes","Laridae","Larus marinus ",7.461,1606.5,1659,-0.04759,-0.00802851996424869,29.2,5,0.02225,-0.01316,27,3,2,57.28,0,0,7.38181317855591,2.00968945348938
"Charadriiformes","Laridae","Larus minutus ",1.9,98.5,119,0.04108,0.134085387725445,20.9,2,0.14398,0.14744,21,3,2,57.76,1,0,4.59005654817804,0.641853886172395
"Charadriiformes","Laridae","Larus ridibundus ",2.764,280.5,306,-0.05206,0.0209668155912233,32.9,2,0.24095,0.26049,22,3,2,52.34,1,0,5.63657372496275,1.01667890590542
"Charadriiformes","Laridae","Rissa brevirostris",4.32,391,377,0.06068,0.126579838915777,27,4,0.12336,0.10038,30,1.5,2,56.88,1,0,5.96870755998537,1.46325540225602
"Charadriiformes","Laridae","Rissa tridactyla ",3.65,418,317,-0.02886,0.03598107277975,28.5,4,0.14046,0.12141,27,2,2,60.5,1,0,6.03548143252476,1.2947271675944
"Charadriiformes","Recurvirostridae","Recurvirostra avosetta ",2,306,304,-0.21384,-0.14309363658702,27.8,2,0.15948,0.1738,24,3.5,1,12.39,1,0,5.72358510195238,0.693147180559945
"Charadriiformes","Scolopacidae","Actitis hypoleucos ",0.78,47.8,48,-0.16851,-0.0623624548017082,14.5,1,0.05444,0.07081,21,4,1,50.89,1,0,3.86702563949741,-0.2484613592985
"Charadriiformes","Scolopacidae","Arenaria interpres ",1.5,110.5,136,-0.0897,0.000742687490914717,22.3,2,0.16115,0.16744,22,4,1,68.88,1,0,4.70501552095781,0.405465108108164
"Charadriiformes","Scolopacidae","Calidris alba ",1.04,57,50,-0.08687,0.0159097868371157,18.6,2,0.14566,0.14359,27,4,1,72.93,0,0,4.04305126783455,0.0392207131532813
"Charadriiformes","Scolopacidae","Calidris alpina ",0.855,43.1,52.5,-0.1033,0.00494597540936864,28.8,2,0.36238,0.37855,21,4,1,63.66,0,0,3.7635229971097,-0.156653810045377
"Charadriiformes","Scolopacidae","Calidris canutus ",1.3,137,135,-0.20441,-0.118301588950001,27.3,3,0.22845,0.22492,22,4,1,72.41,0,0,4.91998092582813,0.262364264467491
"Charadriiformes","Scolopacidae","Calidris ferruginea ",1.02,60.3,58.1,-0.10907,-0.00665470927545842,19.7,3,0.16523,0.14079,21,4,1,72,1,0,4.09933210373314,0.0198026272961797
"Charadriiformes","Scolopacidae","Calidris maritima ",1.09,72,65.2,-0.12344,-0.0253824676366345,20.8,3,0.17193,0.15154,22,4,1,70.04,1,0,4.27666611901606,0.0861776962410524
"Charadriiformes","Scolopacidae","Calidris mauri",0.66,29.5,26.19,-0.12333,-0.00852996782137366,9.2,2,-0.09708,-0.15597,21,4,1,64.15,0,0,3.38439026334577,-0.415515443961666
"Charadriiformes","Scolopacidae","Calidris minuta ",0.6,25.6,21.1,-0.12953,-0.0112981655258661,14.7,2,0.12019,0.1043,20,4,1,71.84,1,0,3.24259235148552,-0.510825623765991
"Charadriiformes","Scolopacidae","Calidris pusilla",0.528,26,27,-0.18902,-0.0711529975633909,19.3,1,0.23676,0.26127,20,4,1,62.64,1,0,3.25809653802148,-0.638658995275876
"Charadriiformes","Scolopacidae","Gallinago gallinago ",1.343,119.5,131.6,-0.15686,-0.0678903486685655,18.2,1,0.06542,0.08795,19,4,1,18.25,1,0,4.78331637137157,0.294905917541101
"Charadriiformes","Scolopacidae","Limicola falcinellus ",0.74,34.2,37.1,-0.10975,0.00263137587842821,6.8,2,-0.2425,-0.34625,21,4,1,65.26,1,0,3.53222564406856,-0.301105092783922
"Charadriiformes","Scolopacidae","Limosa lapponica ",2.547,333.5,322,-0.12989,-0.0605472347605714,34,2,0.23869,0.25907,21,4,1,66.92,1,0,5.80964286535568,0.93491619599732
"Charadriiformes","Scolopacidae","Limosa limosa ",2.9,289.5,294,-0.03892,0.0324708595255548,23.6,2,0.09365,0.10195,20,3.5,1,56.1,1,0,5.66815529701305,1.06471073699243
"Charadriiformes","Scolopacidae","Lymnocryptes minimus ",0.914,50.2,50.2,-0.11189,-0.00671324290490135,12.3,1,-0.0218,-0.01125,23,3.5,1,62.94,1,0,3.91601502669768,-0.089924707527987
"Charadriiformes","Scolopacidae","Numenius arquata ",4.045,725,728,-0.1189,-0.0640570343413023,31.8,2,0.13538,0.1536,28,4,1,56.67,1,0,6.58617165485467,1.39748155051045
"Charadriiformes","Scolopacidae","Numenius phaeopus ",1.7,383,365.7,-0.33931,-0.272958475042007,24.2,2,0.07779,0.08699,22,4,1,60.56,0,0,5.94803498918065,0.53062825106217
"Charadriiformes","Scolopacidae","Phalaropus lobatus ",0.47,35.3,33.8,-0.31463,-0.20286458018724,12.9,1,0.03255,0.04501,19,4,1,63.87,0,0,3.56388296393925,-0.755022584278033
"Charadriiformes","Scolopacidae","Philomachus pugnax ",1.7,158.5,136,-0.12356,-0.040533391245509,13.9,2,-0.07864,-0.09914,21,4,1,60.63,1,0,5.06575459331733,0.53062825106217
"Charadriiformes","Scolopacidae","Scolopax rusticola ",2.446,309.5,308.3,-0.1292,-0.0591279066104725,15.5,1,-0.09532,-0.07754,22,4,1,48.58,1,0,5.73495809212465,0.894454037264981
"Charadriiformes","Scolopacidae","Tringa erythropus ",1.8,151.5,158,-0.08769,-0.00339631115169714,8.6,1,-0.28284,-0.28953,23,4,1,67.03,1,0,5.02058562494942,0.587786664902119
