"TempC","Crime"
0.555555555555556,888.071428571429
1.11111111111111,968.905660377358
1.66666666666667,950.079365079365
2.22222222222222,994.8
2.77777777777778,891.263157894737
3.33333333333333,915.388059701493
3.88888888888889,997.155172413793
4.44444444444444,929.603773584906
5,954.157894736842
5.55555555555556,985.724637681159
6.11111111111111,1006.83333333333
6.66666666666667,997.785714285714
7.22222222222222,987.172413793103
7.77777777777778,1021.18
8.33333333333333,924.018518518518
8.88888888888889,985.670886075949
9.44444444444444,982
10,986.076923076923
10.5555555555556,1080.7619047619
11.1111111111111,1035.50847457627
11.6666666666667,1051.50980392157
12.2222222222222,1079.55102040816
12.7777777777778,971.959183673469
13.3333333333333,1041.97916666667
13.8888888888889,1152.61111111111
14.4444444444444,1071.80327868852
15,1067.28846153846
15.5555555555556,1000.98305084746
16.1111111111111,1074.78181818182
16.6666666666667,1037.66233766234
17.2222222222222,1048.025
17.7777777777778,1094.23943661972
18.3333333333333,1027.55714285714
18.8888888888889,1091.57746478873
19.4444444444444,1010.671875
20,1029.26984126984
20.5555555555556,1023.55555555556
21.1111111111111,1061.72972972973
21.6666666666667,1014.775
22.2222222222222,1088.41666666667
22.7777777777778,1056.83116883117
23.3333333333333,1090.55555555556
23.8888888888889,1071.4756097561
24.4444444444444,1023.33333333333
25,992.585714285714
25.5555555555556,1082.78846153846
26.1111111111111,1049.61224489796
26.6666666666667,1035.52631578947
27.2222222222222,1030.58333333333
27.7777777777778,1141.625
28.3333333333333,1114.47058823529
28.8888888888889,1334.4
29.4444444444444,1085.36363636364
30,1009
30.5555555555556,1008.75
32.2222222222222,1284
NA,NA
